index,author,year,critiria,min_age,max_age,men,women,proportional,gender,brasil,españa,irlanda,korea,suecia,canada,serbia,uk,australia,usa,china,taiwan,belgica,turquia,francia,rumania
1,alder,2022,0,2,8,24,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,arnell,2022,0,12,16,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,arnell,2020,1,6,12,16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,arnell,2018,0,12,16,17,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,bassette,2018,0,18,21,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,becerra,2021,0,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,bennett,2022,0,13,18,24,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,benson,2019,0,18,35,23,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,bishop,2022,0,18,28,222,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,blagrave,2022,1,8,14,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,bo,2019,1,8,12,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
13,bremer,2020,0,8,12,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,bremer,2020,0,6,13,158,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,brown,2020,0,4,17,161,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,carey,2022,0,5,18,0,24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
17,chu,2020,0,12,18,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,columna,2020,0,5,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,dahlgren,2021,0,9,18,138,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,esenturk,2021,0,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,esenturk,2020,0,9,16,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,fiscella,2021,1,6,17,7898,7538,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,garcia,2020,0,8,16,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,garcia-pastor,2019,0,7,48,56,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,gehricke,2020,0,6,11,304,71,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,gehricke,2022,0,6,12,124,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,haegele,2021,0,13,17,10,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,hamm,2019,1,18,35,138,177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,hamm,2018,0,18,35,92,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,healy,2020,0,6,17,2277,514,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,healy,2018,0,6,16,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,heffernan,2018,0,5,9,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,helsel,2022,0,11,17,12,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,helsel,2022,0,11,17,12,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,hillier,2020,0,18,27,27,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,hocking,2022,0,10,17,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,jachyra,2021,0,12,18,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,jozkowski,2019,1,18,25,19,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,ketcheson,2021,1,4,6,15,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,ketcheson,2018,0,2,5,36,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,ketcheson,2021,0,3,5,18,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,kim,2020,0,18,42,11,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
47,kozlowski,2021,0,7,12,52,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,lee,2020,0,20,40,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,lee,2022,0,10,17,70,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50,li,2022,1,6,9,68,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,mahdi,2022,0,6,14,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,mason,2021,1,18,45,86,114,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,mccoy,2020,0,10,17,16514,15798,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,moraes,2022,0,10,16,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,nguyen,2021,0,7,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,nichols,2019,0,22,28,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,oreskovic,2020,0,6,10,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,rosca,2022,0,8,14,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,sansi,2021,1,6,11,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,spratt,2018,1,15,27,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,sung,2021,0,4,6,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,sung,2022,0,6,18,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
70,thomas,2021,0,4,7,21,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,tomaszewski,2021,0,18,55,27,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,toscano,2018,1,6,12,56,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,tse,2020,1,8,12,23,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,tse,2019,0,8,12,32,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,waldron,2022,0,18,78,3451,919,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,woodman,2018,0,5,13,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,ye,2019,0,11,14,20,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,yu,2020,0,20,29,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,zhao,2018,1,5,8,29,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
